Mission1,missionLast,Crew,pirateId,missionCount,missionHours,pirateLevel,age,Occupation,dayOrNight,crewSatisfactionAvg,State,crewmemberDied
14610,16498,1,1,65,393,4,47,Working,night_shift,85,north dakota,0
14610,16130,1,2,51,305,4,23,Other,night_shift,85,connecticut,0
14610,15132,1,3,17,105,2,18,Student,night_shift,98,hawaii,0
14610,16459,1,4,60,364,4,26,Working,night_shift,3,kentucky,0
14610,15518,1,5,32,189,3,52,Student,day_shift,90,de,0
14610,16215,1,6,53,319,4,26,Working,night_shift,93,virginia,0
14610,15957,1,7,45,269,3,28,Working,either_shift,25,ky,0
14610,15349,1,8,23,134,2,34,Working,night_shift,87,ca,0
14610,17790,1,9,104,628,5,22,Working,night_shift,88,california,0
14610,14639,1,10,0,2,NA,24,Other,night_shift,93,north carolina,0
14610,17527,1,11,95,575,5,26,Working,night_shift,93,ks,0
14610,15580,1,12,33,203,3,20,Other,night_shift,12,ny,0
14610,17259,1,13,90,NA,5,64,Working,day_shift,46,de,0
14610,15974,1,14,47,279,3,31,Working,night_shift,86,missouri,0
14610,18302,1,15,125,745,6,31,Working,night_shift,85,wyoming,0
14610,15700,1,16,34,201,3,21,Student,day_shift,88,west virginia,0
14610,15880,1,17,42,252,3,27,Working,night_shift,91,md,0
14610,15722,1,18,36,215,3,21,Student,night_shift,92,ms,0
14610,16066,1,19,47,284,3,47,Other,either_shift,92,ut,0
14610,15877,1,20,41,245,3,21,Student,night_shift,90,montana,0
14610,14728,1,21,NA,24,1,35,Working,night_shift,48,alabama,0
NA,15221,1,22,19,109,2,29,Working,night_shift,NA,ny,0
14610,17200,1,23,84,499,5,51,NA,either_shift,93,NA,0
14610,16925,1,24,76,451,4,23,Working,NA,94,new york,0
14610,16221,1,25,56,334,4,30,Working,night_shift,87,la,0
14610,15202,1,26,18,111,2,20,NA,day_shift,47,ny,0
14610,15268,1,27,20,122,2,23,NA,night_shift,95,south dakota,0
14610,18305,1,28,124,740,6,38,NA,night_shift,90,connecticut,0
14610,18468,1,29,128,763,6,56,Other,night_shift,19,wyoming,0
14610,17662,1,30,104,628,5,67,Retired,either_shift,93,hk,0
14610,15674,1,31,37,223,3,27,NA,night_shift,85,ca,0
14610,18423,1,32,129,771,7,19,Working,night_shift,88,south dakota,1
14610,15758,1,33,40,235,3,23,Working,night_shift,100,ma,0
14610,16634,1,34,65,386,4,75,Retired,either_shift,93,new hampshire,0
14610,15777,1,35,38,224,3,26,NA,NA,85,ia,0
14610,15291,1,36,24,148,2,61,Working,night_shift,100,ar,0
14610,16150,1,37,53,315,4,28,Working,NA,88,ga,0
14610,16878,1,38,74,439,4,24,Student,NA,19,montana,0
14610,16164,1,39,50,303,3,36,Working,night_shift,91,maryland,0
14610,16436,1,40,61,364,4,NA,Student,night_shift,89,montana,0
NA,17435,1,41,92,557,NA,74,Student,night_shift,88,mississippi,0
14610,15722,1,42,36,214,3,53,Working,night_shift,40,va,0
14610,15106,1,43,15,91,2,23,Student,either_shift,77,ne,0
14610,16798,1,44,72,431,4,64,Other,night_shift,94,nevada,0
14610,17254,1,45,88,531,5,25,Working,night_shift,94,hi,0
14610,18488,1,46,131,781,6,27,Working,NA,100,oklahoma,0
14610,18423,1,47,126,755,6,68,Retired,day_shift,86,in,0
14610,18149,1,48,119,709,5,68,Student,night_shift,6,or,0
14610,16166,1,49,53,323,4,24,Working,night_shift,99,montana,0
14610,16493,1,50,65,388,4,33,Working,night_shift,86,id,0
14610,14760,1,51,5,35,1,20,Working,night_shift,97,oklahoma,0
14610,15431,1,52,28,166,2,52,Working,day_shift,89,vermont,0
14610,17147,1,53,83,494,5,23,Student,night_shift,87,il,0
14610,17534,1,54,98,583,5,22,Working,day_shift,87,de,0
14610,15238,1,55,21,131,2,27,Other,night_shift,97,pa,0
14610,15878,1,56,41,246,3,50,Working,night_shift,72,south dakota,0
14610,15867,NA,57,42,250,3,34,Working,day_shift,88,florida,0
14610,14810,1,58,6,36,1,21,Working,night_shift,88,wyoming,0
14610,14758,1,59,7,45,1,57,Working,night_shift,NA,ohio,0
NA,18435,1,60,126,759,6,50,Working,night_shift,97,florida,0
14610,16815,1,61,73,438,4,55,Working,day_shift,35,oh,0
14610,18432,1,62,127,757,6,33,Working,NA,89,tx,0
14610,15653,1,63,34,201,3,27,Student,night_shift,92,tn,0
14610,18340,1,64,123,737,6,28,NA,night_shift,94,nj,0
14610,17825,1,65,105,631,5,21,NA,night_shift,NA,or,0
14610,15018,1,66,12,74,2,53,Working,day_shift,94,mt,0
14610,18476,1,67,127,765,6,53,Working,night_shift,97,ne,0
14610,15343,1,68,22,128,2,47,Working,night_shift,34,ma,0
14610,16211,NA,69,54,322,4,33,NA,day_shift,99,me,0
14610,16591,1,70,64,387,4,30,Student,day_shift,NA,dc,0
14610,18433,1,71,126,754,6,48,Working,night_shift,22,georgia,0
14610,15728,1,72,39,231,3,22,Working,night_shift,85,missouri,0
14610,14891,1,73,9,56,1,NA,Working,night_shift,92,or,0
14610,16756,1,74,73,440,4,30,Student,either_shift,97,connecticut,0
14610,17708,1,75,101,610,5,72,Student,night_shift,95,delaware,0
14610,15690,1,76,37,223,3,21,Student,day_shift,94,tn,0
14610,15199,1,77,21,128,2,71,Retired,day_shift,99,ma,0
14610,17306,1,78,89,539,5,22,Working,night_shift,93,fl,0
14610,18351,1,79,124,746,6,65,Working,day_shift,85,alaska,0
14610,17047,1,80,79,476,4,24,Working,day_shift,97,sd,0
14610,16347,1,81,56,331,4,44,Retired,either_shift,87,illinois,0
14610,16236,1,82,55,334,4,48,Working,NA,80,ut,0
14610,18209,1,83,118,705,5,75,NA,night_shift,68,rhode island,0
14610,16649,1,84,67,399,4,29,Student,night_shift,100,hawaii,1
14610,18269,1,85,120,723,5,51,Working,night_shift,34,illinois,0
14610,16381,1,86,57,340,4,26,Working,night_shift,1,tx,0
14610,16722,1,87,69,412,4,22,NA,night_shift,76,rhode island,0
14610,15508,1,88,32,190,3,34,Student,night_shift,NA,wv,0
14610,16051,1,89,49,298,3,20,Student,night_shift,77,me,0
14610,16985,1,90,81,487,5,29,Working,night_shift,85,ky,0
14610,18460,1,91,127,758,6,37,Working,night_shift,86,connecticut,0
14610,16872,1,92,75,454,4,20,Other,NA,92,ny,0
14610,17548,1,93,97,586,5,NA,Working,night_shift,89,kentucky,0
14610,16622,1,94,67,407,4,28,Working,night_shift,91,ma,1
14610,17434,1,95,96,576,5,59,Other,night_shift,90,mo,0
14610,17905,NA,96,109,653,5,29,Working,night_shift,98,mo,0
14610,17738,1,97,106,635,5,20,Student,night_shift,29,michigan,0
14610,14866,1,98,10,62,1,37,Working,NA,94,michigan,0
14610,15790,1,99,41,247,3,41,Retired,day_shift,85,oklahoma,0
14610,NA,1,100,127,759,6,55,Other,night_shift,99,il,0
14610,16296,1,101,57,342,5,24,Working,day_shift,85,hi,0
14610,16011,1,102,45,271,3,25,Working,night_shift,86,hi,0
14610,17910,1,103,112,672,5,53,Working,night_shift,86,massachusetts,0
14610,16800,1,104,72,437,4,26,Student,day_shift,4,tn,0
14610,16854,1,105,75,449,4,42,Working,night_shift,97,connecticut,0
14610,18243,1,106,122,733,6,25,Working,night_shift,92,oregon,0
14610,15266,1,107,22,137,2,72,Retired,NA,29,wa,0
14610,18301,1,108,121,725,6,25,Working,night_shift,99,ri,0
14610,16186,1,109,55,333,4,NA,Working,night_shift,89,nd,0
14610,16559,1,110,65,392,4,38,Working,night_shift,94,ny,0
14610,15524,1,111,28,170,2,60,Working,night_shift,0,alaska,0
14610,16894,1,112,74,444,4,50,Retired,day_shift,36,kentucky,0
14610,17951,1,113,110,664,5,48,Working,night_shift,99,utah,0
14610,18239,1,114,120,716,5,48,Working,night_shift,96,az,0
14610,16800,1,115,73,435,4,28,Working,either_shift,85,nh,0
14610,15221,1,116,20,NA,2,28,NA,night_shift,4,az,0
14610,17399,1,117,92,555,5,42,NA,day_shift,86,co,0
14610,14883,1,118,9,51,1,23,Working,NA,89,district of columbia,0
14610,17196,1,119,87,523,5,22,Working,night_shift,91,tx,0
14610,17866,1,120,111,670,5,25,Working,night_shift,90,ar,0
14610,14957,1,121,10,64,1,49,Working,night_shift,88,hi,0
14610,16815,1,122,76,451,4,29,Other,night_shift,NA,ks,0
14610,16902,1,123,76,457,4,63,Working,day_shift,NA,co,1
14610,18142,1,124,119,715,5,62,Working,night_shift,NA,nh,0
14610,14971,1,125,10,62,1,73,Retired,either_shift,86,wi,0
14610,16233,1,126,52,309,4,28,Working,NA,97,new mexico,0
14610,17145,1,127,85,513,5,20,Student,day_shift,94,south dakota,0
14610,14612,1,128,1,6,1,19,Other,night_shift,NA,nm,0
14610,17398,1,129,95,574,5,34,Working,night_shift,99,maryland,0
14610,16212,1,130,51,309,4,34,Working,NA,86,new mexico,0
14610,16401,1,131,60,358,5,22,Student,NA,88,nm,0
14610,18102,1,132,114,687,5,26,Working,NA,69,ms,0
14610,17833,1,133,109,658,5,72,Retired,either_shift,8,md,0
14610,15999,1,134,48,283,3,45,Working,day_shift,91,nm,0
14610,17152,1,135,87,519,5,19,Working,night_shift,95,hawaii,0
14610,17064,1,136,84,499,5,25,Other,night_shift,47,alaska,NA
14610,15437,1,137,27,157,2,45,Working,night_shift,91,la,0
14610,15402,1,138,26,156,2,32,NA,night_shift,75,ak,0
14610,15323,1,139,24,139,2,40,Working,day_shift,86,indiana,0
14610,15868,1,140,42,252,3,30,Working,night_shift,91,wy,0
14610,18051,1,141,113,674,5,30,Other,day_shift,4,rhode island,0
14610,17769,1,142,106,638,5,26,Working,NA,100,wv,0
14610,17092,1,143,82,487,5,26,Working,night_shift,87,vermont,0
14610,15951,1,144,43,256,NA,21,Working,night_shift,89,maine,0
14610,18483,1,145,129,769,6,19,Student,day_shift,85,minnesota,0
14610,15224,1,146,21,129,2,22,Student,day_shift,93,oh,0
14610,15523,1,147,29,177,2,35,Working,day_shift,93,wisconsin,0
14610,16111,1,148,52,313,4,23,Working,night_shift,90,california,0
NA,16279,1,149,55,329,4,49,Working,night_shift,98,NA,0
14610,14932,1,150,13,73,NA,26,Working,day_shift,90,arkansas,0
14610,16451,1,151,62,372,4,37,Working,night_shift,87,la,1
14610,16451,1,152,62,375,4,29,Working,NA,100,de,0
